#Query ID	#Subject	#Subject accession	#Subject Taxonomy ID	#Identity percentage	#Coverage	#evalue	#bitscore	#Source	#Taxonomy
Otu0013	Glabratella_sp._17918	Glabratella_sp._17918	N/A	99.381	100	6.85e-167	574	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0014	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	94.720	99	1.02e-145	505	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0015	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	93.769	100	2.23e-141	489	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0016	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0017	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	94.081	100	1.83e-142	494	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0018	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	98.131	100	2.23e-160	553	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0019	Neorotalia_gaimardi_&_Baculogypsina_sphaerulata	Neorotalia_gaimardi_&_Baculogypsina_sphaerulata	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0020	Cribrorotalia_sp._17611	Cribrorotalia_sp._17611	N/A	94.654	98	1.51e-143	498	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0021	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	90.966	100	6.82e-129	449	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0022	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	93.458	100	9.47e-140	485	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0023	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.196	100	4.90e-156	539	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0024	Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._NBCLAB5247	Calcarina_hispida_Ambon_&_Calcarina_spengleri_&_Calcarina_sp._NBCLAB5247	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0025	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	94.099	99	5.27e-143	496	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0026	Amphistegina_lessonii	Amphistegina_lessonii	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0027	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	94.081	100	1.83e-142	494	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0028	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	91.641	99	1.61e-130	454	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0029	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0030	Rosalina_sp._17595	Rosalina_sp._17595	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0031	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	98.065	96	2.56e-153	530	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0032	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	85.670	99	4.34e-106	372	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0033	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	95.016	100	8.30e-147	508	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0035	Oridorsalis_umbonatus_18653	Oridorsalis_umbonatus_18653	N/A	96.904	100	4.93e-156	538	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0036	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	92.236	99	7.33e-135	469	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0038	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0040	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	95.666	100	1.32e-150	520	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0041	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp	N/A	99.071	100	2.91e-165	570	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0042	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	88.854	99	1.42e-118	414	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0043	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	93.769	100	2.23e-141	489	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0044	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	94.410	99	1.24e-144	500	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0045	Nummulites_venosus_Otu026	Nummulites_venosus_Otu026	N/A	88.545	100	4.06e-119	416	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0046	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	93.458	100	9.47e-140	485	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0047	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0048	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	99.690	100	5.63e-168	579	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0049	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	91.615	99	3.80e-132	460	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0050	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	98.762	100	3.55e-164	565	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0051	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.812	99	3.30e-158	546	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0052	Rosalina_sp._17595	Rosalina_sp._17595	N/A	98.142	100	1.84e-161	556	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0053	Amphistegina_radiata	Amphistegina_radiata	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0054	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	96.104	96	4.29e-144	499	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0055	Peneroplis_sp1	Peneroplis_sp1	N/A	94.081	100	1.83e-142	494	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0056	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.819	100	9.46e-159	548	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0057	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	93.769	100	2.23e-141	489	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0058	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	99.690	100	5.63e-168	579	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0059	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	98.754	100	4.30e-163	562	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0060	Lacogromia_cassipara_18990	Lacogromia_cassipara_18990	N/A	84.326	99	1.42e-99	351	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0061	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	82.353	100	5.65e-92	326	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0062	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	90.093	100	3.56e-126	439	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0063	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	99.071	100	2.91e-165	570	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0064	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.500	99	4.02e-157	542	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0065	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0066	Oridorsalis_umbonatus_18653	Oridorsalis_umbonatus_18653	N/A	95.356	100	5.63e-149	516	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0067	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	87.616	100	2.56e-115	403	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0068	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	92.835	100	4.91e-137	476	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0069	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	88.235	100	4.94e-118	412	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0070	Micrometula_sp._17554	Micrometula_sp._17554	N/A	89.206	98	4.06e-119	416	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0071	Amphistegina_lessonii_NBCLAB5174	Amphistegina_lessonii_NBCLAB5174	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0072	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	93.458	100	9.47e-140	485	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0073	Operculina_ammonoides	Operculina_ammonoides	N/A	100.000	99	1.96e-167	576	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0074	Haynesina_germanica_18209	Haynesina_germanica_18209	N/A	92.547	99	1.72e-136	473	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0075	Amphistegina_lobifera	Amphistegina_lobifera	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0076	Globocassidulina_biora_17225	Globocassidulina_biora_17225	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0078	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	81.818	98	2.24e-84	300	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0079	Peneroplis_sp1	Peneroplis_sp1	N/A	95.016	100	8.30e-147	508	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0080	Micrometula_sp._17554	Micrometula_sp._17554	N/A	89.841	98	7.83e-122	425	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0081	Rosalina_sp._17595	Rosalina_sp._17595	N/A	96.904	100	4.93e-156	538	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0082	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.819	100	9.46e-159	548	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0083	Peneroplis_sp1	Peneroplis_sp1	N/A	94.704	100	3.53e-145	503	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0084	Discanomalina_coronata_18034	Discanomalina_coronata_18034	N/A	97.799	98	4.05e-157	543	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0086	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp.	Glabratellina_sp._17921_&_Planoglabratella_opercularis_18053_&_Planoglabratella_sp	N/A	99.690	100	5.63e-168	579	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0087	Heterostegina_depressa_sp2	Heterostegina_depressa_sp2	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0088	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	75.251	92	5.66e-54	199	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0090	Lobatula_lobatula_17944	Lobatula_lobatula_17944	N/A	91.022	100	5.64e-130	453	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0091	Rosalina_sp._17595	Rosalina_sp._17595	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0092	Spiroplectammina_sp._12209	Spiroplectammina_sp._12209	N/A	95.806	96	1.24e-144	501	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0093	Entzia_macrescens_13533	Entzia_macrescens_13533	N/A	87.622	95	2.40e-109	383	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0094	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	98.142	100	1.84e-161	556	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0095	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	97.833	100	7.82e-160	552	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0096	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	87.379	96	2.92e-108	379	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0097	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	93.458	100	9.47e-140	485	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0098	Spiroplectammina_sp._12209	Spiroplectammina_sp._12209	N/A	95.779	95	1.51e-143	498	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0099	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	91.615	99	3.80e-132	460	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0100	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	99.381	100	6.85e-167	574	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0101	Nummulites_venosus_Otu022	Nummulites_venosus_Otu022	N/A	80.495	99	9.56e-83	296	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0102	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	92.879	100	4.05e-138	480	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0103	Entzia_macrescens_13533	Entzia_macrescens_13533	N/A	83.819	96	3.80e-94	333	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0104	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	97.819	100	9.46e-159	548	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0105	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	91.925	99	8.93e-134	464	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0106	Lobatula_lobatula_17944	Lobatula_lobatula_17944	N/A	97.833	100	7.82e-160	552	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0107	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	95.327	100	6.81e-148	512	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0108	Psammina_limbata_18230	Psammina_limbata_18230	N/A	89.164	100	7.83e-122	425	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0109	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	99.071	100	2.91e-165	570	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0110	Rosalina_sp._17595	Rosalina_sp._17595	N/A	92.570	100	4.94e-137	475	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0111	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	80.878	98	4.94e-80	287	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0112	Entzia_macrescens_13533	Entzia_macrescens_13533	N/A	84.142	96	3.12e-95	337	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0113	Cribrorotalia_sp._17611	Cribrorotalia_sp._17611	N/A	90.966	99	6.86e-129	449	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0114	Rosalina_sp._17595	Rosalina_sp._17595	N/A	98.762	100	3.55e-164	565	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0115	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	97.214	100	4.05e-157	543	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0116	Amphisorus_sp_&_Amphisorus_SpL_&_Amphisorus_SpS	Amphisorus_sp_&_Amphisorus_SpL_&_Amphisorus_SpS	N/A	100.000	100	1.60e-168	580	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0117	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	97.833	100	7.82e-160	552	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0118	Nummulites_venosus_Otu031	Nummulites_venosus_Otu031	N/A	81.505	98	9.53e-83	296	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0119	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	Psammophaga_sp._19260_&_Psammophaga_sp._19296_&_Psammophaga_sp2	N/A	99.068	99	1.02e-164	568	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0120	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	96.904	100	4.93e-156	538	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0121	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	88.235	100	4.94e-118	412	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0122	Trifarina_earlandi_&_Uvigerina_bifurcata	Trifarina_earlandi_&_Uvigerina_bifurcata	N/A	88.854	99	1.42e-118	414	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0123	Eggerelloides_scabrum_12301	Eggerelloides_scabrum_12301	N/A	87.774	98	4.63e-112	393	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0124	Amphistegina_papillosa_Spermonde_NBCLAB3741	Amphistegina_papillosa_Spermonde_NBCLAB3741	N/A	100.000	100	1.32e-169	583	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0125	Neorotalia_gaimardi_&_Baculogypsina_sphaerulata	Neorotalia_gaimardi_&_Baculogypsina_sphaerulata	N/A	99.690	100	5.63e-168	579	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0126	Stainforthia_sp._17321	Stainforthia_sp._17321	N/A	98.452	100	1.51e-162	561	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0127	Spiroplectammina_sp._12209	Spiroplectammina_sp._12209	N/A	94.516	96	3.33e-139	483	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0128	Murrayinella_globosa_18043	Murrayinella_globosa_18043	N/A	92.260	100	2.10e-135	471	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0129	Cyrea_szymborska_17247	Cyrea_szymborska_17247	N/A	98.052	96	2.54e-153	529	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0130	Borelis_schlumbergeri_NBCLAB3737	Borelis_schlumbergeri_NBCLAB3737	N/A	96.573	100	2.54e-153	530	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
Otu0131	Peneroplis_sp1	Peneroplis_sp1	N/A	100.000	100	1.60e-168	580	Genbank	unknown kingdom / unknown phylum / unknown class / unknown order / unknown family / unknown genus / unknown species
